hour_tokyo,trip_id_norm,stop_sequence,stop_id,stop_name_display,stop_name,start_date,rt_dt_utc,sched_dt_utc,delay_sec
2026-02-06T10:00:00Z,4200907G,13,4213,Otsuka,大塚,20260206,2026-02-06T01:22:47Z,2026-02-06T01:22:00Z,47
2026-02-06T10:00:00Z,4200907G,14,4214,Sugamo,巣鴨,20260206,2026-02-06T01:24:46Z,2026-02-06T01:24:00Z,46
2026-02-06T10:00:00Z,4200907G,15,4215,Komagome,駒込,20260206,2026-02-06T01:26:17Z,2026-02-06T01:26:00Z,17
2026-02-06T10:00:00Z,4200907G,16,4216,Tabata,田端,20260206,2026-02-06T01:29:17Z,2026-02-06T01:28:00Z,77
2026-02-06T10:00:00Z,4200907G,17,4217,Nishi-Nippori,西日暮里,20260206,2026-02-06T01:30:46Z,2026-02-06T01:30:00Z,46
2026-02-06T10:00:00Z,4200907G,18,4218,Nippori,日暮里,20260206,2026-02-06T01:32:16Z,2026-02-06T01:32:00Z,16
2026-02-06T10:00:00Z,4200907G,19,4219,Uguisudani,鶯谷,20260206,2026-02-06T01:34:17Z,2026-02-06T01:33:00Z,77
2026-02-06T10:00:00Z,4200907G,20,4220,Ueno,上野,20260206,2026-02-06T01:36:48Z,2026-02-06T01:36:00Z,48
2026-02-06T10:00:00Z,4200907G,21,4221,Okachimachi,御徒町,20260206,2026-02-06T01:38:16Z,2026-02-06T01:37:00Z,76
2026-02-06T10:00:00Z,4200907G,22,4222,Akihabara,秋葉原,20260206,2026-02-06T01:40:01Z,2026-02-06T01:39:00Z,61
2026-02-06T10:00:00Z,4200907G,23,4223,Kanda,神田,20260206,2026-02-06T01:41:46Z,2026-02-06T01:41:00Z,46
2026-02-06T10:00:00Z,4200907G,24,4224,Tokyo,東京,20260206,2026-02-06T01:44:16Z,2026-02-06T01:43:00Z,76
2026-02-06T10:00:00Z,4200907G,25,4225,Yurakucho,有楽町,20260206,2026-02-06T01:46:17Z,2026-02-06T01:45:00Z,77
2026-02-06T10:00:00Z,4200907G,26,4226,Shimbashi,新橋,20260206,2026-02-06T01:48:16Z,2026-02-06T01:47:00Z,76
2026-02-06T10:00:00Z,4200907G,27,4227,Hamamatsucho,浜松町,20260206,2026-02-06T01:50:00Z,2026-02-06T01:50:00Z,0
2026-02-06T10:00:00Z,4200907G,28,4228,Tamachi,田町,20260206,2026-02-06T01:52:00Z,2026-02-06T01:52:00Z,0
2026-02-06T10:00:00Z,4200907G,29,4229,Takanawa Gateway,高輪ゲートウェイ,20260206,2026-02-06T01:54:00Z,2026-02-06T01:54:00Z,0
2026-02-06T10:00:00Z,4200907G,30,4230,Shinagawa,品川,20260206,2026-02-06T01:56:00Z,2026-02-06T01:56:00Z,0
2026-02-06T10:00:00Z,4200907G,31,4201,Osaki,大崎,20260206,2026-02-06T01:59:00Z,2026-02-06T01:59:00Z,0
